DATE,SYMBOL,MEAN_PRICE,MIN_PRICE,MAX_PRICE
2022-04-10,WETH,3259.181033474,3222.766079947,3298.959838276
2022-03-27,WETH,3168.558123613,3136.114567784,3278.786863958
2022-01-08,stETH,3155.195544201,3010.691740907,3218.690547841
2022-03-10,stETH,2610.823569912,2577.78420888,2716.526714355
2022-06-11,stETH,1526.329747913,1454.031134903,1593.488340051
2022-03-08,stETH,2556.173015584,2505.362613978,2598.869788264
2022-05-28,stETH,1730.784315729,1687.888823756,1756.824615385
2022-03-05,WETH,2644.087546507,2607.720645232,2674.148087353
2022-04-22,WETH,2986.174417862,2951.812077558,3014.685802028
2022-05-10,stETH,2339.403636502,2216.262185089,2417.115454545
2022-05-22,WETH,2002.194793699,1972.117890179,2045.179436702
2022-01-23,stETH,2455.887650223,2402.556633827,2529.341909255
2022-03-26,WETH,3120.780973912,3098.919515026,3140.50846249
2022-06-05,stETH,1760.481155763,1747.460396006,1785.266551724
2022-04-01,WETH,3341.880672913,3229.621646956,3462.496316137
2022-04-25,stETH,2888.124475295,2810.693925718,3002.762897045
2022-04-23,stETH,2953.084142388,2936.684125354,2962.430548414
2022-04-08,stETH,3251.644916609,3182.192645525,3291.705463729
2022-06-03,WETH,1788.409366757,1749.569361911,1835.494079339
2022-03-20,WETH,2896.075013687,2832.818013021,2949.442878818
2022-06-10,stETH,1669.707435402,1571.355862069,1743.983846154
2022-01-27,stETH,2418.274347508,2336.932229686,2502.55069795
2022-02-25,stETH,2657.03748418,2586.457633971,2788.240301447
2022-04-14,stETH,3062.618645158,2987.844249077,3125.614053426
2022-02-12,WETH,2926.678607663,2881.729707614,2969.95808519
2022-03-13,stETH,2567.889553954,2509.165415932,2590.896356529
2022-02-05,stETH,3004.411823373,2970.818548187,3031.165660975
2022-03-10,WETH,2614.340538677,2581.765078568,2719.334345583
2022-03-18,stETH,2843.206813967,2773.121855223,2948.004310668
2022-03-22,WETH,2993.890072129,2895.91084585,3024.460867648
2022-04-13,stETH,3054.287794196,3014.064808725,3112.091314193
2022-02-12,stETH,2917.194958891,2872.996715216,2955.992082881
2022-03-13,WETH,2573.294081412,2513.044888911,2595.520895438
2022-04-03,stETH,3483.850524158,3434.059840466,3552.124976654
2022-05-04,stETH,2845.511258784,2774.852068164,2949.5628
2022-05-24,WETH,1968.971511296,1928.042470582,1985.967923686
2022-01-16,WETH,3331.508982334,3306.725572427,3370.316542007
2022-04-04,WETH,3484.059606555,3434.138087497,3529.215128654
2022-05-03,stETH,2817.815583609,2754.078314205,2848.095185185
2022-01-04,WETH,3793.280240732,3727.885574434,3875.737299381
2022-04-03,WETH,3488.043192747,3438.673415819,3550.214509898
2022-04-16,WETH,3037.702024156,3021.840598239,3068.124278043
2022-05-17,stETH,2030.457302694,1995.772434433,2062.289583333
2022-01-23,WETH,2437.399665766,2366.277064289,2508.638290746
2022-01-29,WETH,2564.707893139,2535.331124313,2621.409484475
2022-05-30,stETH,1865.62338007,1768.8972,1960.466923077
2022-04-01,stETH,3334.008166728,3224.778137517,3457.530315947
2022-03-12,WETH,2584.510416067,2566.891624968,2599.196202734
2022-01-18,stETH,3158.65446202,3093.977465278,3226.39762694
2022-04-24,stETH,2940.621221943,2922.150138356,2958.436357074
