DATE,TX_ID,AMOUNT_IN,AMOUNT_OUT,GAIN_OR_LOSS,LOSING_TRADE_COUNTS,TRADE,IN_TOKEN,OUT_TOKEN,POOL_NAME,PLATFORM,ROUTER
2022-05-04,0x1e27845d59a7e3009b9f85af793b81202b1ee0004c7c99cc69c91e9928dec16c,0.8319555621,0.82480617,-0.007149392048,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x3a30a90f9349f9c485cd7380c6435095ff36d4db9a81083045df568f6f27e6ad,0.3,0.2876321951,-0.01236780494,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-12,0x58a016c7d5cb617fcaf878ba1a848363b91251470c096fa2b3abc9cfdd9bb8d9,3.000880027,2.89453,-0.1063500274,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x9f7d0ddb3da5083a5707e02ab1f58e3035bbaece4eab15a2185f1ed7a37e1c77,0.3704484887,0.3526596284,-0.01778886022,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-08,0x39fd1d25c48c893e93dd9cad8889dc861ed1020e80f471c5528b310de5451da5,27.759256735,27,-0.7592567353,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xec6883c861b352cc1b3c1887d19ea4a49fb7df2c2409cca400750b7f5f6244c4,25.036930016,24,-1.036930016,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0xe0ce414c4890f1b272fe9ba7fd751fc40efbd9d8475d5ef157b1789f1163bd7b,108.528450635,103.064422084,-5.464028551,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x44ac959eeaaa062b5a56b918cf1eccb3a74d903fc500ac28ec405b3dd919b9c7,273.029617838,261.24613825,-11.783479588,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x22854316b106aa3618913d82478b4fa2f8c2c95358a20b056c6d7defb462fcda,7.269248982,7,-0.2692489821,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0xf377b1068b5062af963e77c813886e7a9eb76e67a5c294364b4736dcf86f8cbe,8,7.613728406,-0.3862715936,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0xeac4c0663be9376757d7451bd9b6d2911d0083d037317207943a4337ef602bf5,5.330767044,5.098808712,-0.2319583319,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x7a5ee69f5291628f52a66b3879b95313d968235042472b458a5dae097f9e8d4e,33.237817099,31.956332509,-1.28148459,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x4a5466320558ca809f4e92fc5f763e72afd2acf700a36c3c39b52ddbe9860349,163.547539287,155.00136948,-8.546169807,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x7655bdbaa4f9ae3d43adefa567c4cf61536a7a3ea15e8b24d2bb54d437766212,2.09,1.997066402,-0.09293359822,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x0192438a892a2313a75a63ad5f3d4df3040faca98ef62981e9f4643da60479a6,5245.853861895,5000,-245.853861895,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x986e6ee881c715de1f015aaa06eef60a3cb02e1d3226f9de222a8308782ddcbe,373.609670514,360,-13.609670514,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x8e6db847a81046f2f010115f5d15f170143540409a6358809d43031f62929508,26.977850548,26.026105914,-0.9517446335,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x364f84c7dfd99a02f2e41ecfb5621dc48f26eab4b048e3f90cb0f3a1dd4ffbae,89.481701999,86,-3.481701999,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-08,0x70d5a44dfd677c9d93529233c50d863b0f6f4a8c2060626e3d668d98b3c66923,1.100541389,1.062360987,-0.03818040177,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-07,0xf90381bdcf3dfc0c68eba5ac4e759b2894a786b55e1911edfc8e94f88dab6996,1670.556546692,1637,-33.556546692,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x218307c2c2ee2fc74c4225c9f8a8c16f453b391948d39127d76da22175e64012,8.234007785,8,-0.2340077852,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2021-09-18,0xf74f4d04aba01ab8df64807f9bf7f98d2b18780cb8a14c91bc9e7256d881f208,30.23994744,30,-0.2399474396,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-05-15,0xd68924da4605cc1e83d279d43f7da885bb0ab5a18250a05c5a6215a760f04100,517.321907185,505.981875,-11.340032185,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-02-23,0xb834762a1518f3b58bde245157467e66d6d6c6f18c7b89d610e3e51d600ace0c,0.4999957401,0.5,0.000004259894885,0,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-05-16,0x1b7a9251962ca2fb4e24e5f1ae7bfe5c1cbc7031ee781588e3a9f2e190413997,0.08829808364,0.08614800451,-0.002150079131,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2021-09-17,0x83ddd806a1b8cc20657fc5ee3b875e7cd8dd1182177e799edbd58dc2ba0c1de5,0.7055650806,0.7,-0.005565080619,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
